stat_name,home_value,away_value,category,tip_id,home_possession,home_advantage,away_possession,away_advantage,match_id
,,,possession,bar_0,Home Possession: 61.23%,Home Advantage: 22.46%,Away Possession: 38.77%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_1,Home Possession: 80.4%,Home Advantage: 60.8%,Away Possession: 19.6%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_2,Home Possession: 33.04%,Home Advantage: N/A,Away Possession: 66.96%,Away Advantage: 33.92%,vanvsdal-10-18-2025
,,,possession,bar_3,Home Possession: 65.1%,Home Advantage: 30.2%,Away Possession: 34.9%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_4,Home Possession: 61.56%,Home Advantage: 23.12%,Away Possession: 38.44%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_5,Home Possession: 61.76%,Home Advantage: 23.52%,Away Possession: 38.24%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_6,Home Possession: 80.86%,Home Advantage: 61.72%,Away Possession: 19.14%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_7,Home Possession: 33.65%,Home Advantage: N/A,Away Possession: 66.35%,Away Advantage: 32.7%,vanvsdal-10-18-2025
,,,possession,bar_8,Home Possession: 68.29%,Home Advantage: 36.58%,Away Possession: 31.71%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_2_0,Home Possession: 67.92%,Home Advantage: 35.84%,Away Possession: 32.08%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_2_1,Home Possession: 70.49%,Home Advantage: 40.98%,Away Possession: 29.51%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_2_2,Home Possession: 50.91%,Home Advantage: 1.82%,Away Possession: 49.09%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_2_3,Home Possession: 71.69%,Home Advantage: 43.38%,Away Possession: 28.31%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_2_4,Home Possession: 74.54%,Home Advantage: 49.08%,Away Possession: 25.46%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_2_5,Home Possession: 76.74%,Home Advantage: 53.48%,Away Possession: 23.26%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_2_6,Home Possession: 52.89%,Home Advantage: 5.78%,Away Possession: 47.11%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_2_7,Home Possession: 67.94%,Home Advantage: 35.88%,Away Possession: 32.06%,Away Advantage: N/A,vanvsdal-10-18-2025
,,,possession,bar_2_8,Home Possession: 54.99%,Home Advantage: 9.98%,Away Possession: 45.01%,Away Advantage: N/A,vanvsdal-10-18-2025
Total Team XG,1.9,1.3,xg,,,,,,vanvsdal-10-18-2025
Shots,18,11,xg,,,,,,vanvsdal-10-18-2025
Shots On Target,7,7,xg,,,,,,vanvsdal-10-18-2025
Possession %,43.4,56.6,general,,,,,,torvsorl-10-18-2025
Shots,12,31,general,,,,,,torvsorl-10-18-2025
Shots on Goal,6,10,general,,,,,,torvsorl-10-18-2025
Blocked Shots,4,12,general,,,,,,torvsorl-10-18-2025
Total Passes,339,534,general,,,,,,torvsorl-10-18-2025
Passing Accuracy %,81.4,87.3,general,,,,,,torvsorl-10-18-2025
Corners,2,8,general,,,,,,torvsorl-10-18-2025
Total Crosses,6,10,general,,,,,,torvsorl-10-18-2025
Offsides,2,3,general,,,,,,torvsorl-10-18-2025
Aerial Duels Won,10,13,general,,,,,,torvsorl-10-18-2025
Expected Goals,2,3.1,general,,,,,,torvsorl-10-18-2025
Goalkeeper Saves,8,2,general,,,,,,torvsorl-10-18-2025
Clearances,5,1,general,,,,,,torvsorl-10-18-2025
Fouls,17,17,general,,,,,,torvsorl-10-18-2025
Yellow Cards,4,2,general,,,,,,torvsorl-10-18-2025
Red Cards,0,0,general,,,,,,torvsorl-10-18-2025
Overall %,81.4,87.3,general,,,,,,torvsorl-10-18-2025
Open Play Pass %,83.7,86.9,general,,,,,,torvsorl-10-18-2025
Set Piece Cross %,25,50,general,,,,,,torvsorl-10-18-2025
Open Play Cross %,50,10,general,,,,,,torvsorl-10-18-2025
Goals,4,2,general,,,,,,torvsorl-10-18-2025
On Target,6,10,general,,,,,,torvsorl-10-18-2025
Off Target,8,29,general,,,,,,torvsorl-10-18-2025
Blocked,4,12,general,,,,,,torvsorl-10-18-2025
Goals Conceded,2,4,general,,,,,,torvsorl-10-18-2025
Shots Against,12,31,general,,,,,,torvsorl-10-18-2025
Clean Sheets,0,0,general,,,,,,torvsorl-10-18-2025
XG Conceded,3.1,2,general,,,,,,torvsorl-10-18-2025
Interceptions,0,1,general,,,,,,torvsorl-10-18-2025
Goals,4,2,shooting,,,,,,torvsorl-10-18-2025
On Target,6,10,shooting,,,,,,torvsorl-10-18-2025
Off Target,2,7,shooting,,,,,,torvsorl-10-18-2025
Blocked,4,12,shooting,,,,,,torvsorl-10-18-2025
Overall %,81.4,87.3,passing,,,,,,torvsorl-10-18-2025
Open Play Pass %,83.7,86.9,passing,,,,,,torvsorl-10-18-2025
Set Piece Cross %,25,50,passing,,,,,,torvsorl-10-18-2025
Open Play Cross %,50,10,passing,,,,,,torvsorl-10-18-2025
,,,possession,bar_0,Home Possession: 64.67%,Home Advantage: 29.34%,Away Possession: 35.33%,Away Advantage: N/A,torvsorl-10-18-2025
,,,possession,bar_1,Home Possession: 49.75%,Home Advantage: N/A,Away Possession: 50.25%,Away Advantage: 0.5%,torvsorl-10-18-2025
,,,possession,bar_2,Home Possession: 37.56%,Home Advantage: N/A,Away Possession: 62.44%,Away Advantage: 24.88%,torvsorl-10-18-2025
,,,possession,bar_3,Home Possession: 29.89%,Home Advantage: N/A,Away Possession: 70.11%,Away Advantage: 40.22%,torvsorl-10-18-2025
,,,possession,bar_4,Home Possession: 41.2%,Home Advantage: N/A,Away Possession: 58.8%,Away Advantage: 17.6%,torvsorl-10-18-2025
,,,possession,bar_5,Home Possession: 43.7%,Home Advantage: N/A,Away Possession: 56.3%,Away Advantage: 12.6%,torvsorl-10-18-2025
,,,possession,bar_6,Home Possession: 12.97%,Home Advantage: N/A,Away Possession: 87.03%,Away Advantage: 74.06%,torvsorl-10-18-2025
,,,possession,bar_7,Home Possession: 62.92%,Home Advantage: 25.84%,Away Possession: 37.08%,Away Advantage: N/A,torvsorl-10-18-2025
,,,possession,bar_8,Home Possession: 67.9%,Home Advantage: 35.8%,Away Possession: 32.1%,Away Advantage: N/A,torvsorl-10-18-2025
,,,possession,bar_2_0,Home Possession: 26.88%,Home Advantage: N/A,Away Possession: 73.12%,Away Advantage: 46.24%,torvsorl-10-18-2025
,,,possession,bar_2_1,Home Possession: 40.38%,Home Advantage: N/A,Away Possession: 59.62%,Away Advantage: 19.24%,torvsorl-10-18-2025
