event_id,match_id,minute,title,comment,out_player,in_player
444,4f298de1,37',Attempt Saved,Attempt saved. Idan Toklomati's (Charlotte FC) with right footed shot from the center of the box with an xG of 13% is saved by Andre Blake.,,
445,4f298de1,42',Attempt Missed,Attempt missed. Danley Jean Jacques's (Philadelphia Union) with right footed shot from the central position outside the box with an xG of 8% goes over.,,
446,4f298de1,45',Yellow Card,Mikael Uhre (Philadelphia Union) is shown the yellow card for poor sportsmanship.,,
447,4f298de1,45'+2,Attempt Missed,Attempt missed. Danley Jean Jacques's (Philadelphia Union) with right footed shot from the central position outside the box with an xG of 3% goes over.,,
448,4f298de1,,,,A. Bedoya,I. Vassilev
449,4f298de1,,,,M. Uhre,T. Baribo
450,4f298de1,48',Attempt Saved,Attempt blocked. Jovan Lukic's (Philadelphia Union) with right footed shot from the center of the box with an xG of 6% is blocked by Ashley Westwood.,,
451,4f298de1,48',Attempt Missed,Attempt missed. Kai Wagner's (Philadelphia Union) with right footed shot from the center of the box with an xG of 5% goes over.,,
452,4f298de1,48',Attempt Missed,Attempt missed. Milan Iloski's (Philadelphia Union) with left footed shot from the central position outside the box with an xG of 6% goes over.,,
453,4f298de1,50',Attempt Saved,Attempt saved. Tai Baribo's (Philadelphia Union) with right footed shot from the central position outside the box with an xG of 4% is saved by Kristijan Kahlina.,,
454,4f298de1,51',Attempt Missed,Attempt missed. Ashley Westwood's (Charlotte FC) with right footed shot from the center of the box with an xG of 12% misses to the right.,,
455,4f298de1,51',Attempt Saved,Attempt saved. Idan Toklomati's (Charlotte FC) with left footed shot from the left side of the box with an xG of 17% is saved by Andre Blake.,,
456,4f298de1,53',Attempt Saved,Attempt saved. Djibril Diani's (Charlotte FC) with header from the center of the box with an xG of 11% is saved by Andre Blake.,,
457,4f298de1,,,,M. Iloski,C. Sullivan
458,4f298de1,61',Attempt Missed,Attempt missed. Bruno Damiani's (Philadelphia Union) with header from the center of the box with an xG of 7% goes over to the right.,,
459,4f298de1,63',Attempt Missed,Attempt missed. Nathan Harriel's (Philadelphia Union) with left footed shot from the central position outside the box with an xG of 3% goes over to the left.,,
460,4f298de1,,,,H. Toffolo,J. Marshall-Rutty
461,4f298de1,66',Attempt Missed,Attempt missed. Jovan Lukic's (Philadelphia Union) with right footed shot from the left half-space outside the box with an xG of 1% goes over to the right.,,
462,4f298de1,70',Attempt Missed,Attempt missed. Indiana Vassilev's (Philadelphia Union) with header from the center of the box with an xG of 6% goes over.,,
463,4f298de1,71',Foul,Nathan Harriel (Philadelphia Union) is shown the yellow card for the foul.,,
464,4f298de1,72',Attempt Saved,Attempt saved. Tai Baribo's (Philadelphia Union) with left footed shot from the center of the box with an xG of 11% is saved by Kristijan Kahlina.,,
465,4f298de1,73',Foul,Bruno Damiani (Philadelphia Union) is shown the yellow card for the foul.,,
466,4f298de1,76',Attempt Missed,Attempt missed. Cavan Sullivan's (Philadelphia Union) with left footed shot from the center of the box with an xG of 4% misses to the left.,,
467,4f298de1,,,,N. Harriel,Frankie Westfield
468,4f298de1,,,,D. Jean Jacques,J. Bueno
469,4f298de1,,,,B. Bronico,B. Coulibaly
470,4f298de1,,,,K. Vargas,L. Abada
471,4f298de1,83',Attempt Saved,Attempt blocked. Indiana Vassilev's (Philadelphia Union) with left footed shot from the center of the box with an xG of 24% is blocked by Adilson Malanda.,,
472,4f298de1,85',Attempt Saved,Attempt saved. Cavan Sullivan's (Philadelphia Union) with left footed shot from the center of the box with an xG of 9% is saved by Kristijan Kahlina.,,
473,4f298de1,87',Post,Tai Baribo (Philadelphia Union) hits the cross bar from the left side of the box with an xG of 22%.,,
474,4f298de1,88',Yellow Card,Jahkeele Marshall-Rutty (Charlotte FC) is shown the yellow card for poor sportsmanship.,,
475,4f298de1,88',Attempt Saved,Attempt blocked. Indiana Vassilev's (Philadelphia Union) with left footed shot from the left side of the box with an xG of 7% is blocked by Nathan Byrne.,,
476,4f298de1,90',SECOND YELLOW,Wilfried Zaha (Charlotte FC) is shown the second yellow (red) card for poor sportsmanship.,,
477,4f298de1,,,,I. Toklomati,A. Goodwin
478,4f298de1,90'+2,Attempt Saved,Attempt saved. Tai Baribo's (Philadelphia Union) with header from the center of the box with an xG of 5% is saved by Kristijan Kahlina.,,
479,4f298de1,90'+4,Attempt Saved,Attempt blocked. Tai Baribo's (Philadelphia Union) with right footed shot from the center of the box with an xG of 23% is blocked by Jahkeele Marshall-Rutty.,,
480,afeca011,14',Attempt Missed,Attempt missed. Aiden Harangi's (San Diego FC) with right footed shot from the central position outside the box with an xG of 5% misses to the left.,,
481,afeca011,16',Attempt Missed,Attempt missed. Amahl Pellegrino's (San Diego FC) with right footed shot from the center of the box with an xG of 18% goes over.,,
482,afeca011,17',Attempt Missed,Attempt missed. Kristoffer Velde's (Portland Timbers) with right footed shot from the left side of the box with an xG of 5% misses to the right.,,
483,afeca011,22',Attempt Saved,Attempt blocked. Anders Dreyer's (San Diego FC) with left footed shot from the center of the box with an xG of 15% is blocked by Dario Zuparic.,,
484,afeca011,23',Attempt Saved,Attempt blocked. Amahl Pellegrino's (San Diego FC) with right footed shot from the left side of the box with an xG of 3% is blocked by Dario Zuparic.,,
485,afeca011,23',Attempt Missed,Attempt missed. Kristoffer Velde's (Portland Timbers) with right footed shot from the central position outside the box with an xG of 6% misses to the right.,,
486,afeca011,26',Corner,Goal! 0:1. Amahl Pellegrino (San Diego FC) scored with right footed shot from the center of the box with an xG of 20% to the bottom right corner. Assisted by Anders Dreyer.,,
487,afeca011,42',Foul,Cristhian Paredes (Portland Timbers) is shown the yellow card for the foul.,,
488,afeca011,44',Attempt Missed,Aiden Harangi (San Diego FC) with left footed shot from the center of the box with an xG of 22%.,,
489,afeca011,,,,C. Paredes,J. Fory
490,afeca011,47',Corner,"Goal! 0:2. Anders Dreyer (San Diego FC) scored with left footed shot from the left half-space outside the box with an xG of 3% to the top left corner. Assisted by Amahl Pellegrino, second assist by Onni Valakari.",,
491,afeca011,49',GOAL,"Goal! 0:3. Anders Dreyer (San Diego FC) scored with left footed shot from the center of the box with an xG of 22% to the lower right central zone. Assisted by Onni Valakari, second assist by Jeppe Tverskov.",,
492,afeca011,51',Foul,Joao Ortiz (Portland Timbers) is shown the yellow card for the foul.,,
493,afeca011,,,,D. Da Costa,J. Mosquera
494,afeca011,,,,I. Smith,M. Rojas
495,afeca011,,,,J. Ortiz,D. Chará
496,afeca011,,,,A. Harangi,W. Kumado
497,afeca011,57',Attempt Missed,Attempt missed. Antony Alves Santos's (Portland Timbers) with left footed shot from the left side of the box with an xG of 16% misses to the left.,,
498,afeca011,60',Attempt Saved,Attempt blocked. Corey Baird's (San Diego FC) with right footed shot from the center of the box with an xG of 17% is blocked by Kamal Miller.,,
499,afeca011,63',Corner,Goal! 0:4. Amahl Pellegrino (San Diego FC) scored with right footed shot from the center of the box with an xG of 31% to the bottom right corner. Assisted by Jeppe Tverskov.,,
500,afeca011,65',Foul,Aníbal Godoy (San Diego FC) is shown the yellow card for the foul.,,
501,afeca011,,,,A. Pellegrino,A. Mighten
502,afeca011,,,,J. Tverskov,L. de la Torre
503,afeca011,,,,A. Godoy,P. Soma
504,afeca011,69',Attempt Missed,Attempt missed. Matías Rojas's (Portland Timbers) with header from the center of the box with an xG of 11% misses to the left.,,
505,afeca011,71',Attempt Saved,Attempt saved. Alex Mighten's (San Diego FC) with left footed shot from the center of the box with an xG of 14% is saved by James Pantemis.,,
506,afeca011,71',Attempt Saved,Attempt saved. Luca de la Torre's (San Diego FC) with right footed shot from the center of the box with an xG of 15% is saved by James Pantemis.,,
507,afeca011,72',Attempt Saved,Attempt blocked. Alex Mighten's (San Diego FC) with right footed shot from the left half-space outside the box with an xG of 2% is blocked by Kristoffer Velde.,,
508,afeca011,72',Attempt Missed,Luca Bombino (San Diego FC) with right footed shot from the left side of the box with an xG of 2%.,,
509,afeca011,72',Attempt Missed,Attempt missed. Alex Mighten's (San Diego FC) with left footed shot from the center of the box with an xG of 12% goes over.,,
510,afeca011,,,,K. Kelsy,F. Mora
511,afeca011,77',Foul,Christopher McVey (San Diego FC) is shown the yellow card for the foul.,,
512,afeca011,78',Attempt Saved,Attempt saved. Felipe Mora's (Portland Timbers) with right footed shot from the center of the box with an xG of 27% is saved by CJ dos Santos.,,
513,afeca011,79',Attempt Missed,Attempt missed. Luca Bombino's (San Diego FC) with right footed shot from the center of the box with an xG of 8% misses to the right.,,
514,afeca011,,,,W. Kumado,M. Ingvartsen
515,afeca011,90'+3,Attempt Missed,Felipe Mora (Portland Timbers) with header from the center of the box with an xG of 3%.,,
516,afeca011,90'+5,Attempt Missed,Attempt missed. Kristoffer Velde's (Portland Timbers) with left footed shot from the central position outside the box with an xG of 14% misses to the right.,,
517,fa05623c,7',Corner,Goal! 1:0. Jonathan Osorio (Toronto FC) scored with left footed shot from the central position outside the box with an xG of 7% to the top left corner. Assisted by José Cifuentes.,,
518,fa05623c,10',Attempt Saved,Attempt blocked. Kyle Smith's (Orlando City) with right footed shot from the left half-space outside the box with an xG of 3% is blocked by Jonathan Osorio.,,
519,fa05623c,13',Attempt Saved,Attempt blocked. Kobe Franklin's (Toronto FC) with right footed shot from the right half-space outside the box with an xG of 2% is blocked by Kyle Smith.,,
520,fa05623c,13',Attempt Saved,Attempt blocked. Deandre Kerr's (Toronto FC) with header from the center of the box with an xG of 9% is blocked by Rodrigo Schlegel.,,
521,fa05623c,14',Attempt Missed,Attempt missed. Richie Laryea's (Toronto FC) with right footed shot from the left side of the box with an xG of 8% misses to the left.,,
